WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   44 target CHEMBL1649057  ; 1513 targets left; Active conunts: 34
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    53 results for No.   12 target CHEMBL3308998  ; 1512 targets left; Active conunts: 33
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     1 results for No.   51 target CHEMBL3616349  ; 1511 targets left; Active conunts: 32
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     2 results for No.   57 target CHEMBL2040     ; 1510 targets left; Active conunts: 31
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    10 results for No.   52 target CHEMBL5633     ; 1509 targets left; Active conunts: 30
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    11 results for No.   59 target CHEMBL5584     ; 1508 targets left; Active conunts: 29
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   54 target CHEMBL4105990  ; 1507 targets left; Active conunts: 28
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    10 results for No.   65 target CHEMBL3137292  ; 1506 targets left; Active conunts: 27
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   55 target CHEMBL2321629  ; 1505 targets left; Active conunts: 26
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     1 results for No.   74 target CHEMBL1795158  ; 1504 targets left; Active conunts: 25
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   63 target CHEMBL3856167  ; 1503 targets left; Active conunts: 24
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     4 results for No.   62 target CHEMBL5173     ; 1502 targets left; Active conunts: 23
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   58 target CHEMBL2176773  ; 1501 targets left; Active conunts: 22
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     3 results for No.   76 target CHEMBL1250358  ; 1500 targets left; Active conunts: 21
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   66 target CHEMBL4295991  ; 1499 targets left; Active conunts: 20
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    13 results for No.   70 target CHEMBL5149     ; 1498 targets left; Active conunts: 19
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   61 target CHEMBL3350     ; 1497 targets left; Active conunts: 18
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   72 target CHEMBL4296004  ; 1496 targets left; Active conunts: 17
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   56 target CHEMBL3430865  ; 1495 targets left; Active conunts: 16
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried     0 results for No.   73 target CHEMBL3879852  ; 1494 targets left; Active conunts: 15
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    45 results for No.   69 target CHEMBL1697661  ; 1493 targets left; Active conunts: 14
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    44 results for No.   64 target CHEMBL4752     ; 1492 targets left; Active conunts: 13
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried    91 results for No.   71 target CHEMBL2886     ; 1491 targets left; Active conunts: 12
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried   568 results for No.   13 target CHEMBL2311243  ; 1490 targets left; Active conunts: 11
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried   598 results for No.    9 target CHEMBL1878     ; 1489 targets left; Active conunts: 10
WARNING:__main__:[Mon Nov 15 15:46:25 2021] Queried   642 results for No.   23 target CHEMBL4804     ; 1488 targets left; Active conunts: 26
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    11 results for No.   78 target CHEMBL1293196  ; 1487 targets left; Active conunts: 51
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     6 results for No.   82 target CHEMBL4371     ; 1486 targets left; Active conunts: 50
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     9 results for No.   92 target CHEMBL4879     ; 1485 targets left; Active conunts: 49
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     5 results for No.   91 target CHEMBL5788     ; 1484 targets left; Active conunts: 48
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     4 results for No.   86 target CHEMBL4856     ; 1483 targets left; Active conunts: 47
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    20 results for No.   93 target CHEMBL2195     ; 1482 targets left; Active conunts: 46
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    10 results for No.   99 target CHEMBL2505     ; 1481 targets left; Active conunts: 45
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     2 results for No.   89 target CHEMBL1770044  ; 1480 targets left; Active conunts: 44
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     7 results for No.   83 target CHEMBL3091270  ; 1479 targets left; Active conunts: 43
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     9 results for No.   95 target CHEMBL1075234  ; 1478 targets left; Active conunts: 42
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    30 results for No.   79 target CHEMBL4785     ; 1477 targets left; Active conunts: 41
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    23 results for No.   88 target CHEMBL3580487  ; 1476 targets left; Active conunts: 40
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.   98 target CHEMBL3885585  ; 1475 targets left; Active conunts: 39
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    27 results for No.   84 target CHEMBL1293203  ; 1474 targets left; Active conunts: 38
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     1 results for No.  100 target CHEMBL4105793  ; 1473 targets left; Active conunts: 37
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.  104 target CHEMBL2366485  ; 1472 targets left; Active conunts: 36
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     5 results for No.  110 target CHEMBL2295563  ; 1471 targets left; Active conunts: 35
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.   94 target CHEMBL4105863  ; 1470 targets left; Active conunts: 34
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     1 results for No.  105 target CHEMBL3112385  ; 1469 targets left; Active conunts: 33
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.   80 target CHEMBL1667692  ; 1468 targets left; Active conunts: 32
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried    41 results for No.   85 target CHEMBL5926     ; 1467 targets left; Active conunts: 31
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.   96 target CHEMBL3627586  ; 1466 targets left; Active conunts: 30
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     3 results for No.  114 target CHEMBL3286083  ; 1465 targets left; Active conunts: 29
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.  108 target CHEMBL4217     ; 1464 targets left; Active conunts: 28
WARNING:__main__:[Mon Nov 15 15:46:26 2021] Queried     0 results for No.   97 target CHEMBL3991482  ; 1463 targets left; Active conunts: 27
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried    12 results for No.  117 target CHEMBL1743291  ; 1462 targets left; Active conunts: 26
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     0 results for No.  112 target CHEMBL2321609  ; 1461 targets left; Active conunts: 25
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried    33 results for No.  111 target CHEMBL1972     ; 1460 targets left; Active conunts: 24
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     0 results for No.  116 target CHEMBL4295604  ; 1459 targets left; Active conunts: 23
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried    51 results for No.  115 target CHEMBL1667695  ; 1458 targets left; Active conunts: 22
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried    57 results for No.  118 target CHEMBL5008     ; 1457 targets left; Active conunts: 21
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried   135 results for No.  102 target CHEMBL2978     ; 1456 targets left; Active conunts: 20
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried   178 results for No.  107 target CHEMBL5511     ; 1455 targets left; Active conunts: 19
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried   624 results for No.   77 target CHEMBL6175     ; 1454 targets left; Active conunts: 20
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried   666 results for No.   67 target CHEMBL3004     ; 1453 targets left; Active conunts: 20
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     8 results for No.   68 target CHEMBL3085619  ; 1452 targets left; Active conunts: 51
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     4 results for No.  124 target CHEMBL2069158  ; 1451 targets left; Active conunts: 50
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried    13 results for No.  133 target CHEMBL3745588  ; 1450 targets left; Active conunts: 49
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     1 results for No.  121 target CHEMBL3745591  ; 1449 targets left; Active conunts: 48
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     8 results for No.  125 target CHEMBL4295576  ; 1448 targets left; Active conunts: 47
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     2 results for No.  143 target CHEMBL4295614  ; 1447 targets left; Active conunts: 46
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     5 results for No.  131 target CHEMBL1075179  ; 1446 targets left; Active conunts: 45
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     4 results for No.  142 target CHEMBL3286068  ; 1445 targets left; Active conunts: 44
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     4 results for No.  139 target CHEMBL4913     ; 1444 targets left; Active conunts: 43
WARNING:__main__:[Mon Nov 15 15:46:27 2021] Queried     0 results for No.  132 target CHEMBL2034806  ; 1443 targets left; Active conunts: 42
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    10 results for No.  127 target CHEMBL3826867  ; 1442 targets left; Active conunts: 41
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    31 results for No.  130 target CHEMBL5933     ; 1441 targets left; Active conunts: 40
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    19 results for No.  151 target CHEMBL2079851  ; 1440 targets left; Active conunts: 39
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    27 results for No.  123 target CHEMBL5670     ; 1439 targets left; Active conunts: 38
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  141 target CHEMBL3580491  ; 1438 targets left; Active conunts: 37
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    14 results for No.  140 target CHEMBL1075088  ; 1437 targets left; Active conunts: 36
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    30 results for No.  137 target CHEMBL4404     ; 1436 targets left; Active conunts: 35
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     1 results for No.   81 target CHEMBL2462     ; 1435 targets left; Active conunts: 34
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    27 results for No.  153 target CHEMBL3179     ; 1434 targets left; Active conunts: 33
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     1 results for No.  150 target CHEMBL4105819  ; 1433 targets left; Active conunts: 32
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  155 target CHEMBL1814     ; 1432 targets left; Active conunts: 31
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  146 target CHEMBL1975     ; 1431 targets left; Active conunts: 33
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  147 target CHEMBL1293254  ; 1430 targets left; Active conunts: 49
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  136 target CHEMBL1764938  ; 1429 targets left; Active conunts: 51
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    14 results for No.  154 target CHEMBL3309037  ; 1428 targets left; Active conunts: 50
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    38 results for No.  144 target CHEMBL2331064  ; 1427 targets left; Active conunts: 49
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     0 results for No.  145 target CHEMBL4295948  ; 1426 targets left; Active conunts: 48
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    33 results for No.  134 target CHEMBL6024     ; 1425 targets left; Active conunts: 47
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     4 results for No.  103 target CHEMBL2366564  ; 1424 targets left; Active conunts: 46
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried   382 results for No.  109 target CHEMBL5122     ; 1423 targets left; Active conunts: 45
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried   118 results for No.  128 target CHEMBL2095202  ; 1422 targets left; Active conunts: 44
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried   119 results for No.  149 target CHEMBL2573     ; 1421 targets left; Active conunts: 43
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    11 results for No.   90 target CHEMBL4295942  ; 1420 targets left; Active conunts: 42
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried    17 results for No.   87 target CHEMBL4855     ; 1419 targets left; Active conunts: 41
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     4 results for No.  159 target CHEMBL6063     ; 1418 targets left; Active conunts: 40
WARNING:__main__:[Mon Nov 15 15:46:28 2021] Queried     7 results for No.  165 target CHEMBL4251     ; 1417 targets left; Active conunts: 39
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     1 results for No.  164 target CHEMBL1641353  ; 1416 targets left; Active conunts: 38
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried    11 results for No.  171 target CHEMBL4105829  ; 1415 targets left; Active conunts: 37
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried    11 results for No.  156 target CHEMBL6086     ; 1414 targets left; Active conunts: 36
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried   185 results for No.  152 target CHEMBL3632452  ; 1413 targets left; Active conunts: 35
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     0 results for No.  157 target CHEMBL3562178  ; 1412 targets left; Active conunts: 34
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     0 results for No.  168 target CHEMBL4296026  ; 1411 targets left; Active conunts: 33
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     0 results for No.  162 target CHEMBL3712898  ; 1410 targets left; Active conunts: 32
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried   535 results for No.  106 target CHEMBL1795186  ; 1409 targets left; Active conunts: 31
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     3 results for No.  174 target CHEMBL3217375  ; 1408 targets left; Active conunts: 30
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried    20 results for No.  166 target CHEMBL1075100  ; 1407 targets left; Active conunts: 29
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     0 results for No.  161 target CHEMBL2146345  ; 1406 targets left; Active conunts: 28
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried    33 results for No.  158 target CHEMBL3999     ; 1405 targets left; Active conunts: 27
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried    35 results for No.  178 target CHEMBL4624     ; 1404 targets left; Active conunts: 26
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     3 results for No.  169 target CHEMBL3259466  ; 1403 targets left; Active conunts: 25
WARNING:__main__:[Mon Nov 15 15:46:29 2021] Queried     0 results for No.  170 target CHEMBL5987     ; 1402 targets left; Active conunts: 34
