pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
6g7f	0.4186046511627907	0.4166666666666667	0.4186046511627907
5xyy	0.2903225806451613	0.373134328358209	0.373134328358209
5y0x	0.3709677419354839	0.453125	0.453125
6f9u	0.42857142857142855	0.4155844155844156	0.42857142857142855
5mwz	0.35714285714285715	0.4603174603174603	0.4603174603174603
5y2f	0.3968253968253968	0.4	0.4
5ow8	0.373134328358209	0.43333333333333335	0.43333333333333335
5th7	0.4125	0.4782608695652174	0.4782608695652174
6dq5	0.2857142857142857	0.3076923076923077	0.3076923076923077
6bhv	0.6	0.5657894736842105	0.6
6cj1	0.47706422018348627	0.6263736263736264	0.6263736263736264
6g0w	0.35714285714285715	0.4307692307692308	0.4307692307692308
6an1	0.34	0.3620689655172414	0.3620689655172414
6gu3	0.5573770491803278	0.6909090909090909	0.6909090909090909
6cb5	0.42857142857142855	0.42857142857142855	0.42857142857142855
6eyb	0.29411764705882354	0.30434782608695654	0.30434782608695654
6baw	0.4603174603174603	0.4603174603174603	0.4603174603174603
6g8m	0.49230769230769234	0.4915254237288136	0.49230769230769234
5ep7	0.45652173913043476	0.39436619718309857	0.45652173913043476
5o1i	0.38181818181818183	0.38181818181818183	0.38181818181818183
6cjh	0.5789473684210527	0.4634146341463415	0.5789473684210527
5ye7	0.38461538461538464	0.45098039215686275	0.45098039215686275
6ekq	0.25555555555555554	0.26744186046511625	0.26744186046511625
5o4s	0.3333333333333333	0.5254237288135594	0.5254237288135594
6c7w	0.7169811320754716	0.7222222222222222	0.7222222222222222
6f29	0.4897959183673469	0.34375	0.4897959183673469
6g91	0.34285714285714286	0.42857142857142855	0.42857142857142855
6hm6	0.35555555555555557	0.35555555555555557	0.35555555555555557
6ewe	0.35714285714285715	0.43902439024390244	0.43902439024390244
6exm	0.34210526315789475	0.32098765432098764	0.34210526315789475
6esm	0.31343283582089554	0.3561643835616438	0.3561643835616438
6boe	0.23333333333333334	0.3181818181818182	0.3181818181818182
6chh	0.5625	0.6292134831460674	0.6292134831460674
6bh2	0.34285714285714286	0.34328358208955223	0.34328358208955223
6es0	0.5277777777777778	0.6571428571428571	0.6571428571428571
6fqu	0.36231884057971014	0.36231884057971014	0.36231884057971014
6f28	0.6304347826086957	0.4423076923076923	0.6304347826086957
6eip	0.43820224719101125	0.589041095890411	0.589041095890411
5yjf	0.3170731707317073	0.37142857142857144	0.37142857142857144
6boy	0.5051546391752577	0.5625	0.5625
6ev0	0.4927536231884058	0.4594594594594595	0.4927536231884058
6eij	0.35714285714285715	0.35802469135802467	0.35802469135802467
6hjj	0.4823529411764706	0.5	0.5
6eog	0.6060606060606061	0.7384615384615385	0.7384615384615385
6gu2	0.29508196721311475	0.4393939393939394	0.4393939393939394
6ey8	0.38028169014084506	0.38235294117647056	0.38235294117647056
6ced	0.4222222222222222	0.44642857142857145	0.44642857142857145
6g8n	0.4852941176470588	0.4603174603174603	0.4852941176470588
5eng	0.5076923076923077	0.5076923076923077	0.5076923076923077
5mme	0.5384615384615384	0.5454545454545454	0.5454545454545454
5za7	0.6097560975609756	0.3673469387755102	0.6097560975609756
6fmc	0.5529411764705883	0.4883720930232558	0.5529411764705883
6fmf	0.5529411764705883	0.4883720930232558	0.5529411764705883
5t5g	0.49382716049382713	0.4936708860759494	0.49382716049382713
5wzw	0.7966101694915254	0.7966101694915254	0.7966101694915254
6ey9	0.34210526315789475	0.3611111111111111	0.3611111111111111
5owl	0.5128205128205128	0.6486486486486487	0.6486486486486487
5zfi	0.5494505494505495	0.7619047619047619	0.7619047619047619
6ej3	0.37037037037037035	0.47368421052631576	0.47368421052631576
5y13	0.3541666666666667	0.37735849056603776	0.37735849056603776
6epa	0.3877551020408163	0.574468085106383	0.574468085106383
6bg5	0.5121951219512195	0.5405405405405406	0.5405405405405406
6eln	0.4426229508196721	0.6956521739130435	0.6956521739130435
5yqo	0.43478260869565216	0.45652173913043476	0.45652173913043476
6hpw	0.35714285714285715	0.3466666666666667	0.35714285714285715
5y86	0.3877551020408163	0.7317073170731707	0.7317073170731707
6bbv	0.4057971014492754	0.7678571428571429	0.7678571428571429
6f8u	0.2716049382716049	0.3684210526315789	0.3684210526315789
6b4d	0.35384615384615387	0.35384615384615387	0.35384615384615387
6fmj	0.7575757575757576	0.8461538461538461	0.8461538461538461
5xvf	0.3888888888888889	0.3333333333333333	0.3888888888888889
6g98	0.3382352941176471	0.3333333333333333	0.3382352941176471
6guk	0.4533333333333333	0.5846153846153846	0.5846153846153846
6h1h	0.5873015873015873	0.6166666666666667	0.6166666666666667
6c91	0.30158730158730157	0.3333333333333333	0.3333333333333333
6eea	0.47368421052631576	0.625	0.625
5ttf	0.4838709677419355	0.5862068965517241	0.5862068965517241
5vyy	0.5161290322580645	0.5161290322580645	0.5161290322580645
5y12	0.35294117647058826	0.3870967741935484	0.3870967741935484
5za8	0.38181818181818183	0.3246753246753247	0.38181818181818183
6cbh	0.3275862068965517	0.40789473684210525	0.40789473684210525
6ekn	0.390625	0.421875	0.421875
6elo	0.5636363636363636	0.5636363636363636	0.5636363636363636
6gy1	0.32075471698113206	0.4	0.4
6hu3	0.2692307692307692	0.3235294117647059	0.3235294117647059
6czu	0.36065573770491804	0.4716981132075472	0.4716981132075472
6bgx	0.2558139534883721	0.2903225806451613	0.2903225806451613
6d5j	0.3787878787878788	0.29850746268656714	0.3787878787878788
6da4	0.2872340425531915	0.44871794871794873	0.44871794871794873
5ylt	0.75	0.38461538461538464	0.75
6bkx	0.30434782608695654	0.35443037974683544	0.35443037974683544
5l8y	0.2897196261682243	0.32989690721649484	0.32989690721649484
5l9h	0.27848101265822783	0.3253012048192771	0.3253012048192771
6bny	0.25	0.28125	0.28125
