assay_chembl_id	assay_type
CHEMBL3089622	B
CHEMBL3089621	B
CHEMBL3111336	B
CHEMBL4358811	B
CHEMBL4650004	B
CHEMBL4650006	B
CHEMBL4650194	B
CHEMBL4322131	B
CHEMBL3224040	B
CHEMBL3224045	B
CHEMBL3224046	B
CHEMBL3224052	B
CHEMBL3380071	B
CHEMBL4043476	B
CHEMBL4405043	B
CHEMBL4405044	B
CHEMBL4405041	B
CHEMBL3587158	B
CHEMBL3587525	B
CHEMBL4237000	B
CHEMBL3591776	B
CHEMBL3591211	B
CHEMBL3591404	B
CHEMBL3591409	B
CHEMBL3591391	B
CHEMBL3591376	B
CHEMBL3610436	B
CHEMBL4308744	B
CHEMBL4401878	B
CHEMBL3706176	B
CHEMBL3773447	B
CHEMBL3887227	B
CHEMBL4038392	B
CHEMBL4051110	B
CHEMBL3772278	B
CHEMBL3772277	B
CHEMBL3772864	B
CHEMBL4043467	B
CHEMBL4189340	B
CHEMBL4316275	B
CHEMBL4626986	B
CHEMBL4626983	B
CHEMBL3772989	B
CHEMBL3778788	B
CHEMBL3778789	B
CHEMBL3778793	B
CHEMBL4012419	B
CHEMBL3791460	B
CHEMBL3791142	B
CHEMBL3791125	B
CHEMBL4368949	B
CHEMBL3791126	B
CHEMBL3889251	B
CHEMBL3889000	B
CHEMBL3864390	B
CHEMBL3889003	B
CHEMBL3889002	B
CHEMBL3889005	B
CHEMBL3889004	B
CHEMBL3888267	B
CHEMBL3888268	B
CHEMBL3889001	B
CHEMBL3888921	B
CHEMBL4194886	B
CHEMBL4194884	B
CHEMBL4043429	B
CHEMBL4043430	B
CHEMBL3855902	B
CHEMBL3888999	B
CHEMBL4185647	B
CHEMBL4038739	B
CHEMBL4051111	B
CHEMBL4058601	B
CHEMBL4016222	B
CHEMBL4043417	B
CHEMBL4043418	B
CHEMBL4154432	B
CHEMBL4019934	B
CHEMBL4043475	B
CHEMBL4043432	B
CHEMBL4043414	B
CHEMBL4368946	B
CHEMBL4043453	B
CHEMBL4043452	B
CHEMBL4322132	B
CHEMBL4368992	B
CHEMBL4368993	B
CHEMBL4432559	B
CHEMBL4432584	B
CHEMBL4432586	B
CHEMBL4043434	B
CHEMBL4150992	B
CHEMBL4185439	B
CHEMBL4185440	B
CHEMBL4185441	B
CHEMBL4151018	B
CHEMBL4151019	B
CHEMBL4193809	B
CHEMBL4256787	B
CHEMBL4264635	B
CHEMBL4264636	B
CHEMBL4342751	B
CHEMBL4310223	B
CHEMBL4310224	B
CHEMBL4425847	B
CHEMBL4425846	B
CHEMBL4368952	B
CHEMBL4368947	B
CHEMBL4401894	B
CHEMBL4310098	B
CHEMBL4310231	B
CHEMBL4346398	B
CHEMBL4346399	B
CHEMBL4310081	B
CHEMBL4368953	B
CHEMBL4316274	B
CHEMBL4610565	B
CHEMBL4610566	B
CHEMBL4368954	B
CHEMBL4368955	B
CHEMBL3610435	B
CHEMBL3610434	B
CHEMBL4308748	B
CHEMBL4329877	B
CHEMBL1177094	B
CHEMBL1176974	B
CHEMBL3602684	B
CHEMBL1244633	B
CHEMBL1244608	B
CHEMBL1244611	B
CHEMBL1244612	B
CHEMBL1244613	B
CHEMBL1243914	B
CHEMBL1243677	B
CHEMBL4402330	B
CHEMBL3737264	B
CHEMBL3391052	B
CHEMBL4353004	B
CHEMBL1068496	B
CHEMBL3391049	B
CHEMBL3603474	B
CHEMBL2027065	B
CHEMBL3223533	B
CHEMBL3223535	B
CHEMBL4052448	B
CHEMBL1810789	B
CHEMBL3705469	B
CHEMBL4019532	B
CHEMBL4019531	B
CHEMBL4344288	B
CHEMBL4344289	B
CHEMBL4019560	B
CHEMBL2019654	B
CHEMBL2019655	B
CHEMBL2065101	B
CHEMBL2065102	B
CHEMBL4019530	B
CHEMBL4019558	B
CHEMBL3784078	B
CHEMBL3784633	B
CHEMBL3784634	B
CHEMBL3784635	B
CHEMBL3859043	B
CHEMBL3859040	B
CHEMBL4398126	B
CHEMBL3825930	B
CHEMBL1614143	B
CHEMBL1273373	B
CHEMBL1273376	B
CHEMBL3860118	B
CHEMBL3860119	B
CHEMBL1286070	B
CHEMBL1286072	B
CHEMBL3888734	B
CHEMBL1768157	B
CHEMBL1768162	B
CHEMBL1767465	B
CHEMBL2429078	B
CHEMBL3136683	B
CHEMBL3224088	B
CHEMBL3224087	B
CHEMBL1291256	B
CHEMBL1219379	B
CHEMBL1219381	B
CHEMBL4022939	B
CHEMBL1798570	B
CHEMBL3624699	B
CHEMBL1225186	B
CHEMBL1227264	B
CHEMBL1227265	B
CHEMBL3076630	B
CHEMBL2329965	B
CHEMBL3243737	B
CHEMBL3243741	B
CHEMBL3243740	B
CHEMBL3243742	B
CHEMBL4399074	B
CHEMBL3887143	B
CHEMBL4232680	B
CHEMBL4399087	B
CHEMBL4399088	B
CHEMBL4399090	B
CHEMBL4425343	B
CHEMBL1958564	B
CHEMBL1958571	B
CHEMBL2156117	B
CHEMBL2182557	B
CHEMBL2182560	B
CHEMBL2182567	B
CHEMBL3414204	B
CHEMBL3584941	B
CHEMBL3585074	B
CHEMBL3583407	B
CHEMBL3583408	B
CHEMBL3772280	B
CHEMBL3772279	B
CHEMBL4363364	B
CHEMBL4363365	B
CHEMBL1958567	B
CHEMBL2184783	B
CHEMBL2439862	B
CHEMBL1953106	B
CHEMBL1953109	B
CHEMBL1960807	B
