PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
CHEMBL3594_6g98_CHEMBL3798303	11.173925197299173	CCCS(=O)(=O)c1c(F)c(F)c(S(N)(=O)=O)c(F)c1NC1CCCCCCC1	CHEMBL3912_4qjx_CHEMBL3798303	8.240743030061056	CCCS(=O)(=O)c1c(F)c(F)c(S(N)(=O)=O)c(F)c1NC1CCCCCCC1	1.0
CHEMBL3594_6g98_CHEMBL3798473	9.468521082957745	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL205_4q09_CHEMBL3798473	9.229147988357855	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3798473	9.468521082957745	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL261_5e2m_CHEMBL3798473	6.657577319177793	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3798473	9.468521082957745	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3242_4qjw_CHEMBL3798473	7.769551078621726	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3798473	9.468521082957745	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3912_5e2n_CHEMBL3798473	8.952415324284123	CC(C)(C)Nc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3799577	8.698970004336019	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL205_4qtl_CHEMBL3799577	8.619788758288394	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3799577	8.698970004336019	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL261_5e2m_CHEMBL3799577	7.6020599913279625	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3799577	8.698970004336019	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3242_4qjw_CHEMBL3799577	7.022276394711152	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3594_6g98_CHEMBL3799577	8.698970004336019	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3912_5e2n_CHEMBL3799577	9.361769097913378	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
CHEMBL3650_5vnd_CHEMBL1834657	8.537602002101043	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	CHEMBL3973_4r6v_CHEMBL1834657	6.9982697339452455	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	1.0
CHEMBL3650_5vnd_CHEMBL1834657	8.537602002101043	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	CHEMBL3973_4r6v_CHEMBL1852688	7.214728530059053	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	1.0
CHEMBL3650_5vnd_CHEMBL1852688	9.0	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	CHEMBL3973_4r6v_CHEMBL1834657	6.9982697339452455	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	1.0
CHEMBL3650_5vnd_CHEMBL1852688	9.0	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	CHEMBL3973_4r6v_CHEMBL1852688	7.214728530059053	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1	1.0
CHEMBL3650_5vnd_CHEMBL3889525	5.693146251306993	C=CC(=O)Nc1cc(CN2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3889525	9.0	C=CC(=O)Nc1cc(CN2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3897741	6.785156151952302	C=CC(=O)Nc1cc(N2C[C@H](C)N[C@H](C)C2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3897741	9.0	C=CC(=O)Nc1cc(N2C[C@H](C)N[C@H](C)C2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3900071	6.221125527997262	C=CC(=O)Nc1cc(CCCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3900071	9.0	C=CC(=O)Nc1cc(CCCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3905232	5.892790030352131	C=CC(=O)Nc1cc(C2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3905232	9.0	C=CC(=O)Nc1cc(C2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3906748	6.489454989793388	C=CC(=O)Nc1cc(C2CCNCC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3906748	9.0	C=CC(=O)Nc1cc(C2CCNCC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3915603	6.939302159646387	C=CC(=O)Nc1cc(N2CCN(C)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3915603	9.0	C=CC(=O)Nc1cc(N2CCN(C)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3921678	6.180456064458133	C=CC(=O)Nc1cc(C(C)N)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3921678	9.0	C=CC(=O)Nc1cc(C(C)N)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3926533	6.950781977329817	C=CC(=O)Nc1ccccc1Nc1cc(N(Cc2cc(C)no2)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3926533	9.0	C=CC(=O)Nc1ccccc1Nc1cc(N(Cc2cc(C)no2)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3932109	5.095284454721319	C=CC(=O)Nc1cc(C(C)OC)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3932109	9.0	C=CC(=O)Nc1cc(C(C)OC)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3932175	5.20690839982342	C=CC(=O)Nc1ccccc1Nc1cc(N(CCNC(C)C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3932175	6.7447274948966935	C=CC(=O)Nc1ccccc1Nc1cc(N(CCNC(C)C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3937272	6.284832642151543	C=CC(=O)Nc1cc(CCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3937272	9.0	C=CC(=O)Nc1cc(CCN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3937344	5.987162775294827	C=CC(=O)Nc1cc(N2CCN(CCO)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3937344	9.0	C=CC(=O)Nc1cc(N2CCN(CCO)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3939295	6.6284019592756485	C=CC(=O)Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3939295	9.0	C=CC(=O)Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3941511	6.1095789811990855	C=CC(=O)Nc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3941511	9.0	C=CC(=O)Nc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3949590	5.569602408613033	C=CC(=O)Nc1cc(N2CCN(CCN)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3949590	9.0	C=CC(=O)Nc1cc(N2CCN(CCN)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3951868	6.527243550682787	C=CC(=O)N(C)c1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3951868	7.853871964321763	C=CC(=O)N(C)c1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3953646	6.649751981665838	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)c(NC(=O)/C=C\Cl)c2)CC1	CHEMBL3973_4r6v_CHEMBL3953646	9.0	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)c(NC(=O)/C=C\Cl)c2)CC1	1.0
CHEMBL3650_5vnd_CHEMBL3957874	6.20690839982342	C=CC(=O)Nc1cc(CN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3957874	9.0	C=CC(=O)Nc1cc(CN(C)C)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
CHEMBL3650_5vnd_CHEMBL3959290	5.3080348972326385	C=CC(=O)Nc1cccc(OC)c1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	CHEMBL3973_4r6v_CHEMBL3959290	9.0	C=CC(=O)Nc1cccc(OC)c1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1	1.0
